DATE,global_commodity_price
2005-01-01,85.49288546501737
2005-02-01,87.42850730873253
2005-03-01,94.59616110649982
2005-04-01,94.18855158452112
2005-05-01,91.74912429020236
2005-06-01,95.51368574058633
2005-07-01,97.76783025658476
2005-08-01,103.6115148506128
2005-09-01,107.6132255540511
2005-10-01,107.00153363384628
2005-11-01,101.0634713887212
2005-12-01,106.106239921137
2006-01-01,107.7777469571283
2006-02-01,106.1113125203356
2006-03-01,106.945892617336
2006-04-01,115.58881575735208
2006-05-01,119.7963243188923
2006-06-01,117.0795505615854
2006-07-01,121.4810706225316
2006-08-01,122.1143348361788
2006-09-01,112.4056434032715
2006-10-01,110.7082753938089
2006-11-01,113.4629315236608
2006-12-01,115.4036174115962
2007-01-01,110.90569625186032
2007-02-01,116.9030302461848
2007-03-01,119.60945385344732
2007-04-01,126.4144923061812
2007-05-01,126.7655070833609
2007-06-01,127.0757325982929
2007-07-01,129.6097514338476
2007-08-01,125.5713719404112
2007-09-01,131.7285732965819
2007-10-01,139.4462109492583
2007-11-01,147.5911629313196
2007-12-01,147.7601640601738
2008-01-01,154.3743473600013
2008-02-01,161.4178098503402
2008-03-01,171.1564311694786
2008-04-01,177.7831349859332
2008-05-01,190.22741292770888
2008-06-01,199.2191448670928
2008-07-01,200.80500453711232
2008-08-01,179.8254600171099
2008-09-01,164.8746707602684
2008-10-01,134.8449657108283
2008-11-01,114.3597176032316
2008-12-01,101.8305731268093
2009-01-01,104.47641419441672
2009-02-01,100.9233335517988
2009-03-01,100.9065104680404
2009-04-01,102.9057180124296
2009-05-01,111.765340116571
2009-06-01,120.5111842075319
2009-07-01,116.3302943031881
2009-08-01,122.8046759251074
2009-09-01,119.1147919993504
2009-10-01,126.6255290873619
2009-11-01,131.5002160287446
2009-12-01,134.077833123444
2010-01-01,139.843361226604
2010-02-01,136.5666008811577
2010-03-01,141.516296754687
2010-04-01,149.3218009901462
2010-05-01,140.4501556903343
2010-06-01,137.7243226631004
2010-07-01,137.8108371699904
2010-08-01,141.6681561307515
2010-09-01,144.4078619968768
2010-10-01,152.1918465423338
2010-11-01,157.07961699388613
2010-12-01,166.148406638524
2011-01-01,172.4565559026008
2011-02-01,178.7150390044905
2011-03-01,184.7654038676631
2011-04-01,194.2741653356084
2011-05-01,186.9132103429993
2011-06-01,184.91429149139208
2011-07-01,187.9011084878115
2011-08-01,183.1953834300808
2011-09-01,180.696635192043
2011-10-01,174.8531382901442
2011-11-01,176.814722969675
2011-12-01,173.4162736540506
2012-01-01,176.4606755548285
2012-02-01,181.9136759608016
2012-03-01,185.64157277231288
2012-04-01,182.60768721110756
2012-05-01,171.9767400312668
2012-06-01,160.902266256116
2012-07-01,166.5134512363088
2012-08-01,171.3649975807179
2012-09-01,172.994156361944
2012-10-01,171.2279474380693
2012-11-01,169.0882036690338
2012-12-01,169.9579224174215
2013-01-01,174.0164190795242
2013-02-01,175.532526665383
2013-03-01,171.2027849200918
2013-04-01,167.7996388350047
2013-05-01,166.7622852057175
2013-06-01,164.0410886338214
2013-07-01,165.9862252184961
2013-08-01,168.5747434791647
2013-09-01,167.9413497117656
2013-10-01,165.3812684635345
2013-11-01,163.5633849940379
2013-12-01,167.1546121000013
2014-01-01,165.5440404223137
2014-02-01,169.3297135449495
2014-03-01,168.6204550970078
2014-04-01,170.1001526449949
2014-05-01,168.0839116804455
2014-06-01,168.350187460071
2014-07-01,164.8115299496384
2014-08-01,159.263969436772
2014-09-01,154.1944715778606
2014-10-01,145.7527532228023
2014-11-01,139.1177341798243
2014-12-01,125.9428063754755
2015-01-01,114.0347523290681
2015-02-01,117.1959239517698
2015-03-01,113.2923909381559
2015-04-01,114.5751655026642
2015-05-01,118.124995095008
2015-06-01,115.7011192505264
2015-07-01,109.3380254179787
2015-08-01,102.3333970549256
2015-09-01,101.883407742469
2015-10-01,102.0353465489185
2015-11-01,96.04245317311728
2015-12-01,90.53613778017652
2016-01-01,85.27145839420656
2016-02-01,86.98851528608424
2016-03-01,93.56518231359726
2016-04-01,96.92617196337171
2016-05-01,100.8536855155762
2016-06-01,103.5054746934114
2016-07-01,102.8002572504015
2016-08-01,103.1487313239129
2016-09-01,103.1743166249251
2016-10-01,106.7431108666256
2016-11-01,105.5525599382046
2016-12-01,111.47053582968212
2017-01-01,115.691938169752
2017-02-01,116.3439359218554
2017-03-01,110.8229013433607
2017-04-01,111.101114790091
2017-05-01,108.9070977630408
2017-06-01,105.672051914219
2017-07-01,108.2060105684868
2017-08-01,111.04189359087728
2017-09-01,114.0862743814701
2017-10-01,115.5575211876223
2017-11-01,120.4837146242583
2017-12-01,121.9934570257262
2018-01-01,128.4351751275419
2018-02-01,126.3611096663866
2018-03-01,126.09625394120792
2018-04-01,128.0849939119876
2018-05-01,132.8524903043191
2018-06-01,131.6419417075388
2018-07-01,129.8286188969794
2018-08-01,127.5126804438963
2018-09-01,131.713928708743
2018-10-01,132.8267485623901
2018-11-01,121.4560298540955
2018-12-01,115.8940992555142
2019-01-01,117.0180204454038
2019-02-01,118.7566424704218
2019-03-01,119.372708082525
2019-04-01,122.7740089151012
2019-05-01,119.6451712203985
2019-06-01,114.85535179010992
2019-07-01,117.3838274565757
2019-08-01,112.0299265271324
2019-09-01,114.0693577033567
